,region,variable,nan_ratio,number_neg_vals,mean
AT_CTY_load_day_ahead,AT CTY,load_day_ahead,0.0,0,6805.982068795598
BE_CTY_load_day_ahead,BE CTY,load_day_ahead,0.0,0,9450.124384658553
CH_CTY_load_day_ahead,CH CTY,load_day_ahead,0.0,0,7116.886325950971
CZ_CTY_load_day_ahead,CZ CTY,load_day_ahead,0.0,0,7412.818648452578
ES_CTY_load_day_ahead,ES CTY,load_day_ahead,0.0,0,27717.437261316507
FR_CTY_load_day_ahead,FR CTY,load_day_ahead,0.0,0,51645.03038723189
HR_CTY_load_day_ahead,HR CTY,load_day_ahead,0.0,0,2000.5804645687613
HU_CTY_load_day_ahead,HU CTY,load_day_ahead,0.0026828366891605187,0,4760.861966484128
IT_CTY_load_day_ahead,IT CTY,load_day_ahead,0.0,0,32418.6120015878
GR_CTY_load_day_ahead,GR CTY,load_day_ahead,0.0,0,5789.468995441915
NL_CTY_load_day_ahead,NL CTY,load_day_ahead,0.0,0,11821.703627989104
PL_CTY_load_day_ahead,PL CTY,load_day_ahead,0.0,0,19459.87512325992
PT_CTY_load_day_ahead,PT CTY,load_day_ahead,0.0,0,5631.016220211615
SI_CTY_load_day_ahead,SI CTY,load_day_ahead,0.0,0,1555.9018275456153
SK_CTY_load_day_ahead,SK CTY,load_day_ahead,0.0,0,3256.04664850733
DK_CTY_load_day_ahead,DK CTY,load_day_ahead,0.0,0,3936.4672091654456
AT_CTY_scheduled_gen_total,AT CTY,scheduled_gen_total,0.0,0,6515.792259468633
BE_CTY_scheduled_gen_total,BE CTY,scheduled_gen_total,0.0,0,9416.764773669873
CH_CTY_scheduled_gen_total,CH CTY,scheduled_gen_total,0.0,0,4814.063187237362
CZ_CTY_scheduled_gen_total,CZ CTY,scheduled_gen_total,0.0,0,8084.213529709679
ES_CTY_scheduled_gen_total,ES CTY,scheduled_gen_total,0.0,0,27029.56304392461
FR_CTY_scheduled_gen_total,FR CTY,scheduled_gen_total,0.00919829721997892,0,57711.82344408372
HR_CTY_scheduled_gen_total,HR CTY,scheduled_gen_total,0.24172906087027937,0,1459.4261024965251
HU_CTY_scheduled_gen_total,HU CTY,scheduled_gen_total,0.0,0,3586.135387300327
IT_CTY_scheduled_gen_total,IT CTY,scheduled_gen_total,0.003942127379990966,0,22914.329357281258
GR_CTY_scheduled_gen_total,GR CTY,scheduled_gen_total,0.00919829721997892,0,3864.8318778752505
NL_CTY_scheduled_gen_total,NL CTY,scheduled_gen_total,0.0,0,8449.268170469633
PL_CTY_scheduled_gen_total,PL CTY,scheduled_gen_total,0.0,0,16575.22434085714
PT_CTY_scheduled_gen_total,PT CTY,scheduled_gen_total,0.015768509519963864,0,5589.400275363327
SI_CTY_scheduled_gen_total,SI CTY,scheduled_gen_total,0.010621843218308991,0,1772.3537765111162
SK_CTY_scheduled_gen_total,SK CTY,scheduled_gen_total,0.0,0,2989.7836894479647
DK_CTY_scheduled_gen_total,DK CTY,scheduled_gen_total,0.0,0,1289.9269640143998
AT_CTY_solar_day_ahead,AT CTY,solar_day_ahead,0.0,0,199.53992088369355
AT_CTY_wind_on_day_ahead,AT CTY,wind_on_day_ahead,0.0,0,838.5575646413075
BE_CTY_solar_day_ahead,BE CTY,solar_day_ahead,0.0,0,494.6711400687133
BE_CTY_wind_off_day_ahead,BE CTY,wind_off_day_ahead,0.0,0,764.6874629398962
BE_CTY_wind_on_day_ahead,BE CTY,wind_on_day_ahead,0.0,0,454.9283224742324
CH_CTY_solar_day_ahead,CH CTY,solar_day_ahead,0.0,0,40.93049584570952
CH_CTY_wind_on_day_ahead,CH CTY,wind_on_day_ahead,0.0,0,1.4532139288500756
CZ_CTY_solar_day_ahead,CZ CTY,solar_day_ahead,0.0,0,254.08828722778105
ES_CTY_solar_day_ahead,ES CTY,solar_day_ahead,0.0,0,2358.3701301723313
ES_CTY_wind_on_day_ahead,ES CTY,wind_on_day_ahead,0.0013140424599969887,0,6226.557831718315
FR_CTY_solar_day_ahead,FR CTY,solar_day_ahead,0.011990637447472521,0,1488.8906702650283
FR_CTY_wind_on_day_ahead,FR CTY,wind_on_day_ahead,0.013906949368301464,0,4162.87826831123
HR_CTY_solar_day_ahead,HR CTY,solar_day_ahead,0.450607060240634,0,9.945536537359544
HR_CTY_wind_on_day_ahead,HR CTY,wind_on_day_ahead,0.450607060240634,0,201.7259595884097
HU_CTY_solar_day_ahead,HU CTY,solar_day_ahead,0.0,0,193.51856057598863
HU_CTY_wind_on_day_ahead,HU CTY,wind_on_day_ahead,0.0,0,78.9298943290855
IT_CTY_solar_day_ahead,IT CTY,solar_day_ahead,0.09986722695977114,0,2267.866486215234
IT_CTY_wind_on_day_ahead,IT CTY,wind_on_day_ahead,0.7029579643292224,0,2271.794397493203
GR_CTY_solar_day_ahead,GR CTY,solar_day_ahead,0.05256169839987954,0,480.00444685812863
GR_CTY_wind_on_day_ahead,GR CTY,wind_on_day_ahead,0.05256169839987954,0,893.1134431418396
NL_CTY_solar_day_ahead,NL CTY,solar_day_ahead,0.0,0,678.9146009280424
NL_CTY_wind_off_day_ahead,NL CTY,wind_off_day_ahead,0.0,0,422.62761952995606
NL_CTY_wind_on_day_ahead,NL CTY,wind_on_day_ahead,0.0,0,861.2657787754766
PL_CTY_wind_on_day_ahead,PL CTY,wind_on_day_ahead,0.0,0,1562.585929548161
PL_CTY_solar_day_ahead,PL CTY,solar_day_ahead,0.37307855510081167,0,438.98888583218707
PT_CTY_solar_day_ahead,PT CTY,solar_day_ahead,0.013140424599969886,0,147.5019505388574
PT_CTY_wind_on_day_ahead,PT CTY,wind_on_day_ahead,0.013140424599969886,0,1434.24518172349
PT_CTY_wind_off_day_ahead,PT CTY,wind_off_day_ahead,0.44666493286064307,0,5.268215698004619
SI_CTY_solar_day_ahead,SI CTY,solar_day_ahead,0.005365673378321037,0,30.15651217917842
SK_CTY_solar_day_ahead,SK CTY,solar_day_ahead,0.0013140424599969887,0,63.16026370252601
SK_CTY_wind_on_day_ahead,SK CTY,wind_on_day_ahead,0.0013140424599969887,0,1.2509628431627855
DK_CTY_solar_day_ahead,DK CTY,solar_day_ahead,0.005256169839987955,0,138.28770409918403
DK_CTY_wind_off_day_ahead,DK CTY,wind_off_day_ahead,0.0026280849199939774,0,685.1186035735641
DK_CTY_wind_on_day_ahead,DK CTY,wind_on_day_ahead,0.005256169839987955,0,1138.4267520121025
AT_BZN_prices_day_ahead,AT BZN,prices_day_ahead,0.0,668,42.69945823124409
BE_BZN_prices_day_ahead,BE BZN,prices_day_ahead,0.0,1068,40.92657062293825
CH_BZN_prices_day_ahead,CH BZN,prices_day_ahead,0.0,428,43.60979399646851
CZ_BZN_prices_day_ahead,CZ BZN,prices_day_ahead,0.0026280849199939774,604,43.28407822685789
ES_BZN_prices_day_ahead,ES BZN,prices_day_ahead,0.0,0,44.501830214763814
FR_BZN_prices_day_ahead,FR BZN,prices_day_ahead,0.0,556,41.715996824397386
HR_BZN_prices_day_ahead,HR BZN,prices_day_ahead,0.0,272,48.68659772506399
HU_BZN_prices_day_ahead,HU BZN,prices_day_ahead,0.0,48,49.481497597766136
IT_North_BZN_prices_day_ahead,IT-North BZN,prices_day_ahead,0.0,0,49.65124573962796
IT_Centre_North_BZN_prices_day_ahead,IT-Centre-North BZN,prices_day_ahead,0.0,0,50.24585378540044
IT_Centre_South_BZN_prices_day_ahead,IT-Centre-South BZN,prices_day_ahead,0.0,0,51.11081018930424
IT_South_BZN_prices_day_ahead,IT-South BZN,prices_day_ahead,0.0,0,50.538490493724076
IT_Sicily_BZN_prices_day_ahead,IT-Sicily BZN,prices_day_ahead,0.0,0,58.35605143928713
GR_BZN_prices_day_ahead,GR BZN,prices_day_ahead,0.0,28,55.128334314302535
NL_BZN_prices_day_ahead,NL BZN,prices_day_ahead,0.0,616,41.55090805809163
PT_BZN_prices_day_ahead,PT BZN,prices_day_ahead,0.0,0,44.521161969421144
SI_BZN_prices_day_ahead,SI BZN,prices_day_ahead,0.0,212,48.39229163529847
SK_BZN_prices_day_ahead,SK BZN,prices_day_ahead,0.0,552,43.95912725679948
DK1_BZN_prices_day_ahead,DK1 BZN,prices_day_ahead,0.0,1220,36.96508096417866
