AT BZN,7019.984416010498
BE BZN,9423.66253636264
CH BZN,7103.628143044619
CZ BZN,7435.880205621788
ES BZN,27714.367782152232
FR BZN,51537.65842180147
HR BZN,1992.2205818022746
HU BZN,4945.958508436108
IT-North BZN,18062.433891076114
IT-Centre-North BZN,3197.9522090988626
IT-Centre-South BZN,5191.109142607174
IT-South BZN,2675.820483377078
IT-Sicily BZN,1953.7319553805773
GR BZN,5703.909927805732
NL BZN,12387.444035843178
PT BZN,5620.970904418196
SI BZN,1557.0254825113577
SK BZN,3251.4645923333524
DK1 BZN,2438.2831731189854
